hours,marks
3.75,59.42291710565663
9.51,100.0
7.32,88.45586469088427
5.99,74.4139658871414
1.56,45.90846844354507
1.56,44.735799098060326
0.58,37.01309584112914
8.66,96.55183763561578
6.01,82.28838293280829
7.08,82.43444681162316
0.21,33.44057128140081
9.7,100.0
8.32,93.58839102460794
2.12,45.26110681119169
1.82,44.85895409526292
1.83,43.129573037651404
3.04,49.6680097068016
5.25,72.20568892441808
4.32,61.37308885882169
2.91,54.700777291905545
6.12,76.2017272972986
1.39,45.76980321505262
2.92,51.01024012299129
3.66,58.31381545138297
4.56,68.920551652109
7.85,89.10740705069813
2.0,46.68237980381239
5.14,75.04142826284729
5.92,72.53755029631631
0.46,34.23390157559691
6.08,79.41964838274527
1.71,46.02546861533193
0.65,31.48914786736576
9.49,100.0
9.66,100.0
8.08,95.53095401969956
3.05,55.15147855103763
0.98,38.879344628490934
6.84,82.67992583526453
4.4,65.89676109148301
1.22,40.63921741989604
4.95,67.45694574592089
0.34,38.31732353343427
9.09,100.0
2.59,47.14608950839205
6.63,85.00966082590148
3.12,52.035954989318036
5.2,73.96125381122735
5.47,77.23578673702221
1.85,42.33795304494487
9.7,100.0
7.75,93.23834278080949
9.39,100.0
8.95,100.0
5.98,77.10383565199139
9.22,100.0
0.88,34.37145671112343
1.96,43.23256914510368
0.45,33.36869487175769
3.25,57.023455924449934
3.89,61.95007239799006
2.71,54.16154974710807
8.29,96.35900567563371
3.57,62.92060223147195
2.81,51.68602950028614
5.43,81.60050749976885
1.41,43.15700204329502
8.02,91.58852733075115
0.75,32.78732250581666
9.87,100.0
7.72,91.08961164402244
1.99,48.06200148227628
0.06,31.899712873720635
8.15,94.98151326202938
7.07,84.01961884579478
7.29,83.7754583259424
7.71,90.34045514379895
0.74,38.48919638297042
3.58,59.28228123239061
1.16,35.542783663864036
8.63,99.55954277755355
6.23,80.99595213918651
3.31,53.828427691396605
0.64,35.58117531783658
3.11,55.05462615533799
3.25,52.57108910650813
7.3,89.47336208104485
6.38,82.72235357910469
8.87,100.0
4.72,70.9214061561047
1.2,35.46699189612873
7.13,84.22652488025463
7.61,92.42510580162597
5.61,76.42135785273662
7.71,93.22514305891815
4.94,81.07819447196417
5.23,73.5526715320795
4.28,67.6466969205418
0.25,34.86200529047961
1.08,40.594173753917396
0.31,31.53419226607896
6.36,83.15690766147979
3.14,52.80152435638729
5.09,70.00954417977997
9.08,100.0
2.49,50.16562241815897
4.1,69.74397570002053
7.56,84.87820442222474
2.29,50.37878057112354
0.77,31.32185238643104
2.9,51.7842044026317
1.61,46.146851790902105
9.3,100.0
8.08,91.40676566621208
6.33,78.49408887222009
8.71,100.0
8.04,92.12890010484858
1.87,45.60937576874593
8.93,100.0
5.39,71.16519895718255
8.07,100.0
8.96,100.0
3.18,49.36457224002717
1.1,39.35936294430828
2.28,46.25464060569483
4.27,66.71730000438866
8.18,93.0624377847019
8.61,98.5357906755993
0.07,32.07496183694137
5.11,73.47726558251036
4.17,59.75911077883267
2.22,46.75649629247716
1.2,38.175164066517134
3.38,55.08001230227887
9.43,100.0
3.23,57.05494513288287
5.19,67.73734813699488
7.03,88.99358584116433
3.64,65.4864685910379
9.72,100.0
9.62,100.0
2.52,48.707297781401245
4.97,73.56073344755985
3.01,51.956991603143656
2.85,54.13145828443868
0.37,35.28390216028801
6.1,76.01920858526574
5.03,70.0614239318146
0.51,24.356197979792782
2.79,49.24683707599713
