area,price
1360,49624.57569401917
1794,109169.72249101567
1630,102704.60419882053
1595,149014.84224970572
2138,123052.78070437755
2669,159480.94684667225
966,67605.76460589514
1738,83526.43924760936
830,84356.45629030041
1982,134138.66065373548
2635,167570.63894086092
3419,172762.25090410523
630,79555.88621872198
2185,101212.97874415439
1269,95187.14187600541
2891,208359.1125161996
2015,100939.27349738622
3353,176324.04540794456
2933,168643.02730175282
1715,95680.48691767601
1455,61736.731378677345
2824,162571.25949612053
1684,82953.92572547791
959,77421.84861270363
521,27661.515315323937
2800,190998.6881003508
1247,66684.93415327526
3404,183758.7696758865
974,84970.3443473934
1582,74482.7136713209
3058,177449.1986920826
2547,173492.85508564857
3247,150200.33530877545
1475,97442.67717064609
2306,140497.65588496847
689,70086.45743554621
3234,156960.98578243837
1062,46690.867738314475
2399,150388.83131233795
1767,114289.69346466372
3379,193959.85700691753
2028,128328.96418993952
1146,63699.505568430184
2568,153045.07394322008
3388,195261.44946597362
2714,141412.97163947264
1797,147165.49022289514
2935,176226.65841823575
1100,51173.93005594703
2863,176281.0721726766
2561,128556.36659545357
741,72791.69207484904
2541,170221.9115801481
3324,169786.3536329658
3112,194867.52258488644
3445,200505.61853872996
1863,129591.2031998898
2639,189885.85965307895
1890,109592.23767994258
1978,103825.2767128502
3056,155009.71140748952
1275,67433.79430069124
534,45157.96581171791
2753,164473.03949633287
2455,148283.81598660038
2085,140793.66498072047
1521,96310.03783755813
3113,204720.68154314635
1629,96156.86333524088
2000,174403.38333179237
1202,92613.34695530012
2949,150306.84887167436
3277,162432.15003877776
2079,133599.4483048637
661,48580.74429348298
701,69330.00988184183
2481,153514.7524914709
1495,93293.42174686254
2817,143914.1256386319
1315,55453.055506282704
955,58819.70095865958
1775,125877.97588646944
1516,100081.87488260408
2843,137235.22442576024
3267,186813.61851702363
837,69556.34759457674
1378,71222.85127597734
1576,101874.50211891056
1291,85714.17436892
2764,135340.59404338754
1263,90305.74720696567
2735,167965.6905273647
879,85611.02486350553
992,90676.04104069807
1680,76446.61264085818
2562,129343.49920169754
564,58500.7053441732
3068,183675.71901824418
1867,123650.95372612096
1652,179654.62981309442
2527,157767.81021386333
3195,202461.31280361197
1995,138830.03526986405
1662,116127.82502611596
2022,114794.6151071931
3140,192179.38440986534
891,49093.495709248564
2198,125163.62786519983
918,56192.72904341793
2836,163437.48278772645
878,110193.17133347018
2296,97454.69614816504
2778,172625.20380749027
2588,117145.68257620696
2682,144661.36268421134
700,76779.01193934731
2363,139435.60038190926
1279,62395.104441413874
3477,179543.92581480063
1002,83691.95497869351
2954,153092.66736565725
2251,136879.1717916395
1304,86111.43679807628
2646,139267.99304788365
3231,224428.8817865065
2395,152428.3804463602
3273,143147.14826684786
2070,127229.08629538855
1460,79764.27070463225
3160,195048.66669592448
1985,103399.58523134599
3190,177205.27117066202
1528,106499.74557960914
1002,87415.10388340242
3314,161694.07185888448
897,58159.97528318103
1370,79001.09377678088
3342,174033.41534852577
892,99909.08480562194
706,63399.63421921911
1538,71682.3209132991
2381,157407.23894109554
3439,234393.12394025267
1984,139849.30521102293
1363,57762.60068091973
3290,174815.31854267497
1063,98488.22298373246
1520,81846.61068762439
595,58626.38856292457
2423,156642.68106858674
2257,114311.39056843834
3032,170409.492878764
2778,94074.65319861856
3296,164312.24717331422
2178,123848.6369721368
1040,47044.33636070301
1559,130598.22607863271
3072,144997.17244078734
1683,95349.11026606032
2222,133714.81154572184
2319,164775.4657813223
3125,147532.7569764112
3229,204713.2750430992
3104,175404.66122039175
2097,105219.82697904098
3193,188892.0694852654
1295,88731.1939114694
1551,85545.66245682411
2143,128546.04169980038
1863,105443.7280627648
2481,146320.34690502496
1854,125942.61349042093
2163,159870.33632290704
2029,96693.69002346302
2538,189560.66749312534
1996,80758.24400954996
2737,153814.29809928834
1908,127166.34412969153
1900,120619.83735470065
1806,97846.00960358813
3180,174837.5549928545
3175,168889.98130682335
1472,81812.70486111577
2268,150392.0419404205
1782,116240.30971930095
1209,66591.80809478692
1979,136941.99750866502
1934,122845.99041753219
1148,93657.2423767792
817,73442.57683847225
1757,91270.09978155856
1183,67946.3791960606
1163,93095.87210246523
2498,157107.4053086693
2131,126131.96812071704
1995,122096.54766617564
1636,127353.29791576849
2353,125818.57222328341
2020,131941.94762340075
2989,165406.14695132212
