age,account_duration,monthly_spending,support_tickets,complaints,churn
37.47608618006285,41.88970284118471,100.71513513092363,15,3,0.0
67.43714393331564,32.165781980647225,275.5314642153955,1,3,0.0
56.063684974193066,18.571656977179664,437.74345957944007,5,5,1.0
49.1302411782459,48.827701182416924,368.790194340685,11,9,1.0
26.1129693030067,41.083870353232754,405.21496245211034,4,9,1.0
26.111715057482538,9.757016360693477,332.8038496882515,1,9,0.0
21.02034783274637,54.655631069630545,349.2155166137477,15,5,1.0
63.04115958029663,49.35223457539014,426.1058692670064,4,0,0.0
49.257980610646854,56.98799479751544,132.3373243410011,14,8,1.0
54.81977404539437,43.543170503301596,249.81823218513884,11,1,0.0
19.070393703381725,36.80491175614739,118.39262649160509,3,4,1.0
68.4353123124237,25.094582177437132,493.957323918357,14,8,1.0
61.28701732162193,55.963709001240794,472.5890764464405,10,3,0.0
29.04163375527036,51.9638333700245,29.31913757056789,15,2,1.0
27.454898294769233,2.7131202063713644,355.73183453268734,5,6,0.0
27.537034512378558,1.5820184698351203,463.37167553367624,13,5,1.0
33.82059663389596,22.587802012682975,98.48191911239343,17,7,1.0
45.287334444876365,48.633199846909974,288.29316297078844,11,2,0.0
40.461140969390016,59.23656775889667,458.5892658181405,10,4,1.0
33.14391529029818,9.025013466211691,26.633529507041434,12,9,1.0
49.816350525563735,35.64784292112811,351.73593095095157,10,3,0.0
25.253680753906174,22.853451397861292,155.70101361254987,15,3,0.0
33.19152172383134,58.19486386887619,462.9541357344999,14,3,0.0
37.05081585127197,50.52713538814252,485.8185401310302,14,9,1.0
41.71563917928587,50.29972228266827,472.6905796655826,3,7,1.0
58.829149992436705,28.121589587698217,242.36496616215726,10,5,1.0
28.383036672234706,24.88917014025991,432.40089898476356,18,2,0.0
44.74019079750781,16.404424315842373,423.8292052821845,14,9,1.0
48.8055575808262,3.382529799055627,166.35923188919526,3,4,0.0
20.41542146143988,51.883342575303196,416.1685823338319,12,5,1.0
49.592332298874794,48.77406054780465,28.133741010591386,18,4,1.0
26.86725443173916,59.98306039716783,302.172240456206,1,5,1.0
21.382682835234533,59.79821022443432,122.7043302709745,13,7,0.0
67.34204793717333,33.32590233615765,69.0777740308666,3,6,1.0
68.21286571987709,46.13924491083063,47.707068798312484,15,4,1.0
60.03666210205598,56.68594379294568,351.1815001802885,19,9,1.0
33.839915997015275,50.97884344064469,176.5387322463524,13,5,1.0
23.078949928331962,14.84088610459186,365.1357180490931,14,3,0.0
53.58011737863216,27.03264811860561,42.02460699148176,2,8,1.0
40.88792967445927,7.749564909089699,164.49226553699907,7,3,0.0
24.3459882119285,57.24306163552334,274.35073326391523,15,0,0.0
43.74919932578605,36.3704780670528,397.45435077109215,9,6,1.0
19.788203097991357,13.718568330207763,166.18872643671426,3,6,1.0
65.28466090809667,40.30204106435141,316.6867744541345,17,3,1.0
31.45655904320088,37.08769442747375,444.1290966357317,1,2,0.0
52.45115878640706,21.48976308197043,311.77296220932925,16,7,1.0
34.20897595664937,6.813455531977741,124.15014262928055,12,4,1.0
45.04353710124616,40.29439173556798,21.95638296270363,3,9,1.0
46.42893452585054,31.218462054227597,436.34844821145566,10,6,1.0
27.61243168732741,46.33910350413836,20.422011316689698,6,3,1.0
68.41840064375705,31.209810066719605,438.6038196152577,11,3,0.0
58.30690681477796,51.13089001911241,269.1791956733339,9,7,1.0
66.85394496133783,33.114410326469134,470.14317227131914,6,7,1.0
64.53102222223774,33.656278292123176,401.40378552909607,12,1,0.0
49.09079889817643,52.5992161595007,498.98771416133536,6,1,0.0
65.93746022120207,24.20897197274382,181.848789571338,16,2,0.0
22.601610106699816,8.040913707038444,385.9222615762522,9,2,0.0
28.19110884579555,1.7269605788003384,206.94614766852865,9,0,1.0
20.35181902334798,45.30823534041714,245.13905394891535,3,2,0.0
34.917177199689746,37.21857308120788,317.47767697700135,19,5,1.0
38.211219063853065,42.244786085953415,438.101785951306,3,7,1.0
32.11014965224258,12.777849690534644,492.2008999076546,6,9,1.0
61.09435047590033,8.182288535206187,386.4539727936139,0,5,1.0
